5/28/2020 8:49:48 AM 0.0.0.1:50212; Sent encoded word: cat
5/28/2020 8:49:54 AM 0.0.0.1:50220; Sent encoded word: kitty
5/28/2020 8:50:29 AM 0.0.0.1:50244; Sent encoded word: hooman
5/28/2020 8:52:44 AM 0.0.0.1:50281; Sent encoded word: young
5/28/2020 8:55:40 AM 0.0.0.1:50300; Sent encoded word: horse
5/28/2020 8:55:58 AM 0.0.0.1:50320; Sent encoded word: horseyuuuu
5/28/2020 8:56:25 AM 0.0.0.1:50348; Sent encoded word: human
5/28/2020 9:05:42 AM 0.0.0.1:50438; Sent encoded word: girl
5/28/2020 9:06:25 AM 0.0.0.1:50451; Sent encoded word: girlee
5/28/2020 9:06:48 AM 0.0.0.1:50459; Sent encoded word: 123
5/28/2020 9:07:44 AM 0.0.0.1:50472; Sent encoded word: city
5/28/2020 9:08:08 AM 0.0.0.1:50484; Sent encoded word: city
5/28/2020 9:12:21 AM 0.0.0.1:50524; Sent encoded word: girl
5/28/2020 9:12:29 AM 0.0.0.1:50533; Sent encoded word: boy
5/28/2020 9:43:45 AM 0.0.0.1:50731; Sent encoded word: toy
5/28/2020 9:39:11 PM 0.0.0.1:61738; Sent encoded word: you
5/28/2020 9:39:17 PM 0.0.0.1:61740; Sent encoded word: no
5/28/2020 9:40:22 PM 0.0.0.1:61748; Sent encoded word: go
5/28/2020 9:45:05 PM 0.0.0.1:61799; Sent encoded word: you
5/28/2020 9:45:09 PM 0.0.0.1:61810; Sent encoded word: young
5/28/2020 9:45:14 PM 0.0.0.1:61817; Sent encoded word: young
5/28/2020 9:45:14 PM 0.0.0.1:61824; Sent encoded word: young
5/28/2020 9:55:32 PM 0.0.0.1:61979; Sent encoded word: yes
5/28/2020 10:06:52 PM 0.0.0.1:62084; Sent encoded word: young
5/28/2020 10:07:27 PM 0.0.0.1:62099; Sent encoded word: boy
5/28/2020 10:08:05 PM 0.0.0.1:62108; Sent encoded word: dog
5/28/2020 10:12:45 PM 0.0.0.1:62137; Sent encoded word: again
5/28/2020 10:16:39 PM 0.0.0.1:62186; Sent encoded word: rich
5/28/2020 10:19:19 PM 0.0.0.1:62201; Sent encoded word: dog
5/28/2020 10:21:04 PM 0.0.0.1:62235; Sent encoded word: dog
5/29/2020 10:09:52 AM 0.0.0.1:49391; Sent encoded word: cat
5/29/2020 12:30:16 PM 0.0.0.1:50177; Sent encoded word: cat
5/29/2020 12:30:23 PM 0.0.0.1:50177; Sent encoded word: city
5/29/2020 12:30:30 PM 0.0.0.1:50177; Sent encoded word: baby
5/29/2020 12:31:10 PM 0.0.0.1:50178; Sent encoded word: dog
5/29/2020 12:33:02 PM 0.0.0.1:50179; Sent encoded word: city
5/29/2020 12:33:07 PM 0.0.0.1:50179; Sent encoded word: end
5/29/2020 12:37:15 PM 0.0.0.1:50184; Sent encoded word: young
5/29/2020 12:37:20 PM 0.0.0.1:50184; Sent encoded word: boy
5/29/2020 12:37:24 PM 0.0.0.1:50184; Sent encoded word: girl
5/29/2020 12:37:29 PM 0.0.0.1:50184; Sent encoded word: girl
5/29/2020 12:37:36 PM 0.0.0.1:50184; Sent encoded word: toy
5/29/2020 12:47:03 PM 0.0.0.1:50382; Sent encoded word: dog
5/29/2020 12:47:07 PM 0.0.0.1:50382; Sent encoded word: cat
5/29/2020 12:47:19 PM 0.0.0.1:50382; Sent encoded word: young
5/29/2020 12:48:14 PM 0.0.0.1:54696; Sent encoded word: dog
5/29/2020 12:48:18 PM 0.0.0.1:54696; Sent encoded word: cat
5/29/2020 12:48:32 PM 0.0.0.1:54696; Sent encoded word: sex
5/29/2020 12:49:42 PM 0.0.0.1:54742; Sent encoded word: dog
5/29/2020 12:49:45 PM 0.0.0.1:54742; Sent encoded word: cat
5/29/2020 12:49:46 PM 0.0.0.1:54742; Sent encoded word: cat
5/29/2020 12:49:47 PM 0.0.0.1:54742; Sent encoded word: cat
5/29/2020 12:49:48 PM 0.0.0.1:54742; Sent encoded word: cat
5/29/2020 12:49:50 PM 0.0.0.1:54742; Sent encoded word: cat
5/29/2020 12:49:52 PM 0.0.0.1:54742; Sent encoded word: cat
5/29/2020 1:14:07 PM 0.0.0.1:54852; Sent encoded word: dog
5/29/2020 1:14:15 PM 0.0.0.1:54852; Sent encoded word: girl
5/29/2020 1:17:59 PM 0.0.0.1:55078; Sent encoded word: dog
5/29/2020 1:18:05 PM 0.0.0.1:55078; Sent encoded word: girl
5/29/2020 1:18:11 PM 0.0.0.1:55078; Sent encoded word: what ?
5/29/2020 1:25:51 PM 0.0.0.1:55125; Sent encoded word: dog
5/29/2020 1:25:56 PM 0.0.0.1:55125; Sent encoded word: girl
5/29/2020 1:32:06 PM 0.0.0.1:55184; Sent encoded word: city
5/29/2020 1:32:11 PM 0.0.0.1:55184; Sent encoded word: hometown
5/29/2020 1:32:15 PM 0.0.0.1:55184; Sent encoded word: town
5/29/2020 1:32:20 PM 0.0.0.1:55184; Sent encoded word: get
5/29/2020 1:32:34 PM 0.0.0.1:55184; Sent encoded word: set
5/29/2020 1:36:32 PM 0.0.0.1:55254; Sent encoded word: strong
5/29/2020 1:36:37 PM 0.0.0.1:55254; Sent encoded word: weak
5/29/2020 1:36:48 PM 0.0.0.1:55254; Sent encoded word: long
5/29/2020 1:36:54 PM 0.0.0.1:55254; Sent encoded word: last
5/29/2020 1:37:07 PM 0.0.0.1:55254; Sent encoded word: right
5/29/2020 1:45:46 PM 0.0.0.1:55254; Sent encoded word: 
5/29/2020 1:50:12 PM 0.0.0.1:55366; Sent encoded word: youth
5/29/2020 1:50:19 PM 0.0.0.1:55366; Sent encoded word: so
5/29/2020 1:50:27 PM 0.0.0.1:55366; Sent encoded word: that
5/29/2020 1:52:28 PM 0.0.0.1:55398; Sent encoded word: start
5/29/2020 1:52:32 PM 0.0.0.1:55398; Sent encoded word: end
5/29/2020 1:52:35 PM 0.0.0.1:55398; Sent encoded word: 
5/29/2020 2:00:51 PM 0.0.0.1:55678; Sent encoded word: young
5/29/2020 2:01:13 PM 0.0.0.1:55678; Sent encoded word: girl
5/29/2020 2:01:24 PM 0.0.0.1:55678; Sent encoded word: sexy
5/29/2020 2:01:29 PM 0.0.0.1:55678; Sent encoded word: movie
5/29/2020 2:11:15 PM 0.0.0.1:55909; Sent encoded word: cat
5/29/2020 2:11:18 PM 0.0.0.1:55909; Sent encoded word: dog
6/3/2020 3:38:23 PM 0.0.0.1:59041; Sent encoded word: dog
6/3/2020 3:38:30 PM 0.0.0.1:59056; Sent encoded word: cat
6/3/2020 3:38:36 PM 0.0.0.1:59056; Sent encoded word: city
6/3/2020 3:38:44 PM 0.0.0.1:59041; Sent encoded word: field
6/20/2020 12:03:57 PM 0.0.0.1:56183; Sent encoded word: cat
6/20/2020 12:03:59 PM 0.0.0.1:56190; Sent encoded word: dog
6/20/2020 12:04:19 PM 0.0.0.1:56183; Sent encoded word: city
6/20/2020 12:04:21 PM 0.0.0.1:56190; Sent encoded word: princess
